Date;Академгородок;Дрокино;Кировский;КрАЗ;Ленина, 41;Минино;о. Молокова;Николаевка;Овинный-Таймыр;Партизана, 3г;Песчанка;Покровка;Шахтеров, 25;Солонцы;Спутник;Светлый;Свердловский;о. Татышев;Телевизорная, 1/31;Удачный;Ветлужанка;Караульная;Качинская, 56А;Посадный;Руслов;Mean
2019-01-01;237.0;237.0;237.0;237.0;237.0;237.0;237.0;237.0;237.0;237.0;237.0;237.0;237.0;237.0;237.0;237.0;237.0;237.0;237.0;237.0;237.0;;;;;237.0
2019-01-02;270.0;270.0;270.0;270.0;270.0;270.0;270.0;270.0;270.0;270.0;270.0;270.0;270.0;270.0;270.0;270.0;270.0;270.0;270.0;270.0;270.0;;;;;270.0
2019-01-03;273.0;273.0;273.0;273.0;273.0;273.0;273.0;273.0;273.0;273.0;273.0;273.0;273.0;273.0;273.0;273.0;273.0;273.0;273.0;273.0;273.0;;;;;273.0
2019-01-04;243.0;243.0;243.0;243.0;243.0;243.0;243.0;243.0;243.0;243.0;243.0;243.0;243.0;243.0;243.0;243.0;243.0;243.0;243.0;243.0;243.0;;;;;243.0
2019-01-05;268.0;268.0;268.0;268.0;268.0;268.0;268.0;268.0;268.0;268.0;268.0;268.0;268.0;268.0;268.0;268.0;268.0;268.0;268.0;268.0;268.0;;;;;268.0
2019-01-06;277.0;277.0;277.0;277.0;277.0;277.0;277.0;277.0;277.0;277.0;277.0;277.0;277.0;277.0;277.0;277.0;277.0;277.0;277.0;277.0;277.0;;;;;277.0
2019-01-07;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;;;;;250.0
2019-01-08;275.0;275.0;275.0;275.0;275.0;275.0;275.0;275.0;275.0;275.0;275.0;275.0;275.0;275.0;275.0;275.0;275.0;275.0;275.0;275.0;275.0;;;;;275.0
2019-01-09;252.0;252.0;252.0;252.0;252.0;252.0;252.0;252.0;252.0;252.0;252.0;252.0;252.0;252.0;252.0;252.0;252.0;252.0;252.0;252.0;252.0;;;;;252.0
2019-01-10;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;285.0;;;;;285.0
2019-01-11;307.0;307.0;307.0;307.0;307.0;307.0;307.0;307.0;307.0;307.0;307.0;307.0;307.0;307.0;307.0;307.0;307.0;307.0;307.0;307.0;307.0;;;;;307.0
2019-01-12;284.0;284.0;284.0;284.0;284.0;284.0;284.0;284.0;284.0;284.0;284.0;284.0;284.0;284.0;284.0;284.0;284.0;284.0;284.0;284.0;284.0;;;;;284.0
2019-01-13;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;;;;;289.0
2019-01-14;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;250.0;;;;;250.0
2019-01-15;246.0;246.0;246.0;246.0;246.0;246.0;246.0;246.0;246.0;246.0;246.0;246.0;246.0;246.0;246.0;246.0;246.0;246.0;246.0;246.0;246.0;;;;;246.0
2019-01-16;262.0;262.0;262.0;262.0;262.0;262.0;262.0;262.0;262.0;262.0;262.0;262.0;262.0;262.0;262.0;262.0;262.0;262.0;262.0;262.0;262.0;;;;;262.0
2019-01-17;283.0;283.0;283.0;283.0;283.0;283.0;283.0;283.0;283.0;283.0;283.0;283.0;283.0;283.0;283.0;283.0;283.0;283.0;283.0;283.0;283.0;;;;;283.0
2019-01-18;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0;272.0;;;;;272.0
2019-01-19;255.0;255.0;255.0;255.0;255.0;255.0;255.0;255.0;255.0;255.0;255.0;255.0;255.0;255.0;255.0;255.0;255.0;255.0;255.0;255.0;255.0;;;;;255.0
